Sensor Name,Sensor Type,Timestamp,Temperature ( C ),Humidity ( RH ),Dew Point ( C ),Heat Index ( C ),Feels Like ( C ),Wind Chill ( C ),Barometric Pressure ( HPA ),Accumulated Rain ( MM ),Wind Speed ( KPH ),Wind Average ( KPH ),Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
Engenho,AcuRite Iris®,2026/28/05 21:20,22.5,75.0,17.8,22.8,25.2,22.5,1023.03,3.0,0.0,0.0,0.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 21:25,22.1,78.0,18.1,22.4,24.9,22.1,1023.03,7.0,0.0,0.0,338.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 21:30,22.6,77.0,18.4,22.9,25.6,22.6,1023.03,16.0,0.0,0.0,338.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 21:35,22.3,77.0,18.1,22.6,25.1,22.3,1023.03,16.0,0.0,0.0,338.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 21:40,21.3,79.0,17.5,21.5,23.8,21.3,1023.03,16.0,0.0,0.0,338.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 22:25,20.6,81.0,17.2,20.8,23.1,20.6,1023.03,1.0,0.0,0.0,225.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 22:30,20.6,81.0,17.2,20.8,23.1,20.6,1023.03,1.0,0.0,0.0,225.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 22:35,20.3,81.0,16.9,20.5,22.6,20.3,1023.03,1.0,0.0,0.0,225.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 22:45,19.5,81.0,16.2,19.6,21.6,19.5,1023.03,2.0,0.0,0.0,45.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 22:50,18.7,85.0,16.2,18.9,20.8,18.7,1023.03,2.0,0.0,0.0,0.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 22:55,18.7,85.0,16.2,18.9,20.8,18.7,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:00,18.6,85.0,16.1,18.7,20.6,18.6,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:05,18.2,86.0,15.8,18.3,20.2,18.2,1023.37,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:10,18.2,86.0,15.8,18.3,20.2,18.2,1023.37,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:15,18.2,86.0,15.8,18.3,20.2,18.2,1023.37,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:20,18.2,86.0,15.8,18.3,20.2,18.2,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:25,18.2,86.0,15.8,18.3,20.2,18.2,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:30,18.2,86.0,15.8,18.3,20.2,18.2,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:35,18.3,86.0,15.9,18.4,20.2,18.3,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:40,18.2,86.0,15.8,18.3,20.2,18.2,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
Engenho,AcuRite Iris®,2026/28/05 23:45,18.0,87.0,15.8,18.1,19.9,18.0,1023.03,2.0,0.0,0.0,158.0,,,,,,,,,
