"TIMESTAMP","PTemp","t_terra_Avg","t_agua_Avg"
"10:59:00",17.87,17.49,17.51
"11:00:00",17.89,17.54,17.91
"11:01:00",17.89,11.99,13.53
"11:02:00",17.95,12.01,12.91
"11:03:00",17.95,12.12,12.98
"11:04:00",17.95,12.31,12.98
"11:05:00",17.95,12.42,12.93
"11:06:00",17.99,12.5,13.21
"11:07:00",17.99,12.63,13.64
"11:08:00",18.02,13,13.72
"11:09:00",18.02,13.72,13.88
"11:10:00",18.05,14.8,14.07
"11:11:00",18.07,16.1,14.35
"11:12:00",18.1,17.58,14.59
"11:13:00",18.1,19.1,14.87
"11:14:00",18.1,20.53,15.16
"11:15:00",18.12,21.93,15.4
"11:16:00",18.12,23.29,15.71
"11:17:00",18.12,24.56,15.97
"11:18:00",18.15,25.72,16.24
"11:19:00",18.15,26.82,16.56
"11:20:00",18.17,27.88,16.82
"11:21:00",18.17,28.86,17.12
"11:22:00",18.17,29.76,17.39
"11:23:00",18.2,30.62,17.69
"11:24:00",18.23,31.43,17.99
"11:25:00",18.23,32.21,18.23
"11:26:00",18.23,32.9,18.5
"11:27:00",18.25,33.62,18.77
"11:28:00",18.28,34.26,19.05
"11:29:00",18.28,34.87,19.31
"11:30:00",18.3,35.46,19.52
"11:31:00",18.33,35.98,19.49
"11:32:00",18.33,36.13,19.49
"11:33:00",18.35,35.86,19.54
"11:34:00",18.38,35.34,19.61
"11:35:00",18.38,34.73,19.7
"11:36:00",18.4,34.1,19.8
"11:37:00",18.4,33.49,19.87
"11:38:00",18.4,32.87,19.96
"11:39:00",18.4,32.25,19.94
"11:40:00",18.4,31.68,19.99
"11:41:00",18.43,31.19,20.03
"11:42:00",18.43,30.67,20.03
"11:43:00",18.43,30.18,20.08
"11:44:00",18.43,29.73,20
"11:45:00",18.43,29.24,20.01
"11:46:00",18.43,28.87,19.92
"11:47:00",18.43,28.46,19.98
"11:48:00",18.46,28.07,19.94
"11:49:00",18.46,27.68,19.96
"11:50:00",18.46,27.39,19.9
"11:51:00",18.46,27.06,19.84
"11:52:00",18.46,26.71,19.81
"11:53:00",18.46,26.45,19.78
"11:54:00",18.46,26.17,19.71
"11:55:00",18.46,25.87,19.7
